2018-08-24 16:27:43,416 [Worker-19] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B clean
2018-08-24 16:27:46,563 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-24 16:27:46,573 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-08-24 16:27:46,576 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-24 16:27:46,582 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-08-24 16:27:55,635 [Worker-6] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\I341561\Desktop\FrameworkPractice\RestAssuredFramework\RestAssured\RestAssured
2018-08-24 16:27:55,636 [Worker-6] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2018-08-24 16:28:02,850 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-24 16:28:02,855 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-08-24 16:28:02,857 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-24 16:28:02,861 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-08-24 16:28:15,045 [Worker-6] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\Users\I341561\Desktop\FrameworkPractice\RestAssuredFramework\RestAssured\RestAssured
2018-08-24 16:28:15,045 [Worker-6] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B test
2018-08-24 16:28:20,755 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-24 16:28:20,759 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-08-24 16:28:20,760 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-24 16:28:20,763 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-08-24 16:28:32,909 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-24 16:28:32,914 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-08-24 16:28:32,915 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-24 16:28:32,919 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-08-24 16:28:45,553 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-08-24 16:28:45,558 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
